run_dir,experiment_name,dataset,iid,alpha,aggregation,attack_type,malicious_ratio,num_rounds,final_clean_accuracy,best_clean_accuracy,final_test_loss,final_backdoor_asr,final_rejection_rate,final_tpr,final_fpr,final_f1,chain_valid,total_time
experiments_b_journal\ext_flame_cifar10_noniid_fltrust_s42_20260615_055153,ext_flame_cifar10_noniid_fltrust_s42,CIFAR10,False,0.5,fltrust,backdoor,0.2,120,40.8,40.97,1.5810133415222167,12.565445026178011,40.0,1.0,0.25,0.6666666666666666,True,2206.2979896999896
experiments_b_journal\ext_flame_cifar10_noniid_fltrust_s43_20260615_062844,ext_flame_cifar10_noniid_fltrust_s43,CIFAR10,False,0.5,fltrust,backdoor,0.2,120,27.76,27.76,2.01754476146698,26.2652705061082,50.0,1.0,0.375,0.5714285714285715,True,2204.842419599998
experiments_b_journal\ext_flame_cifar10_noniid_fltrust_s44_20260615_070531,ext_flame_cifar10_noniid_fltrust_s44,CIFAR10,False,0.5,fltrust,backdoor,0.2,120,40.91,41.06,1.5654104738235473,9.511343804537521,70.0,1.0,0.625,0.4444444444444445,True,2125.7783047999837
experiments_b_journal\ext_flame_cifar10_noniid_norm_filter_s42_20260615_040253,ext_flame_cifar10_noniid_norm_filter_s42,CIFAR10,False,0.5,norm_filter,backdoor,0.2,120,77.58,78.16,0.6675183687210083,2.8795811518324608,30.0,1.0,0.125,0.8,True,2180.2776965000085
experiments_b_journal\ext_flame_cifar10_noniid_norm_filter_s43_20260615_043920,ext_flame_cifar10_noniid_norm_filter_s43,CIFAR10,False,0.5,norm_filter,backdoor,0.2,120,79.86,80.19,0.6021330163002014,1.7452006980802792,30.0,1.0,0.125,0.8,True,2164.1165062999935
experiments_b_journal\ext_flame_cifar10_noniid_norm_filter_s44_20260615_051529,ext_flame_cifar10_noniid_norm_filter_s44,CIFAR10,False,0.5,norm_filter,backdoor,0.2,120,79.32,81.81,0.6535884300231933,3.4904013961605584,40.0,1.0,0.25,0.6666666666666666,True,2180.752264400013
experiments_b_journal\ext_flame_cifar10_noniid_proposed_s42_20260615_074845,ext_flame_cifar10_noniid_proposed_s42,CIFAR10,False,0.5,proposed,backdoor,0.2,120,78.02,78.02,0.6284680999279022,1.0471204188481675,0.0,0.0,0.0,0.0,True,1889.7886287999863
experiments_b_journal\ext_flame_cifar10_noniid_proposed_s43_20260615_082019,ext_flame_cifar10_noniid_proposed_s43,CIFAR10,False,0.5,proposed,backdoor,0.2,120,77.36,78.08,0.678236577796936,1.9197207678883073,30.0,1.0,0.125,0.8,True,2595.3858091
experiments_b_journal\ext_flame_cifar10_noniid_proposed_s44_20260615_090341,ext_flame_cifar10_noniid_proposed_s44,CIFAR10,False,0.5,proposed,backdoor,0.2,120,76.77,80.11,0.7040006309509277,5.671902268760907,30.0,0.5,0.25,0.4,True,2684.546675599995
experiments_b_journal\ext_flame_fashionmnist_iid_fedavg_s42_20260614_183748,ext_flame_fashionmnist_iid_fedavg_s42,FashionMNIST,True,0.5,fedavg,backdoor,0.2,80,85.15,85.15,0.3939447494029999,76.23590633130962,0.0,0.0,0.0,0.0,True,84.29790509998566
experiments_b_journal\ext_flame_fashionmnist_iid_fedavg_s43_20260614_183918,ext_flame_fashionmnist_iid_fedavg_s43,FashionMNIST,True,0.5,fedavg,backdoor,0.2,80,85.5,85.5,0.38944374463558196,69.08065915004336,0.0,0.0,0.0,0.0,True,85.64481399999931
experiments_b_journal\ext_flame_fashionmnist_iid_fedavg_s44_20260614_184049,ext_flame_fashionmnist_iid_fedavg_s44,FashionMNIST,True,0.5,fedavg,backdoor,0.2,80,84.75,84.89,0.4136359273433685,75.36860364267129,0.0,0.0,0.0,0.0,True,85.03512119999505
experiments_b_journal\ext_flame_fashionmnist_iid_flame_s42_20260615_095557,ext_flame_fashionmnist_iid_flame_s42,FashionMNIST,True,0.5,flame,backdoor,0.2,80,72.67,83.3,0.7192501636505126,10.060711188204683,0.0,0.0,0.0,0.0,True,119.26658419999876
