synthetic_clients,validator_count,threshold,proposal_type,byzantine_validators,dropout_rate,bandwidth_mbps,rtt_ms,trials,valid_finalization_rate,invalid_rejection_rate,invalid_acceptance_rate,timeout_rate,mean_finality_ms,p95_finality_ms,mean_available_validators,mean_messages_per_round,mean_committee_kb_per_round
10,5,3,valid,0,0.2,100.0,100.0,500,0.94,0.0,0.0,0.06,218.72055721657296,2000.0,4.044,5.044,52.041093359375
10,5,3,invalid,0,0.2,100.0,100.0,500,0.0,0.934,0.0,0.066,229.983923889166,2000.0,3.972,4.972,51.114545703125
10,5,3,valid,2,0.2,100.0,100.0,500,0.95,0.0,0.0,0.05,199.86467500809607,121.43528048672553,3.966,4.966,51.037333398437504
10,5,3,invalid,2,0.2,100.0,100.0,500,0.0,0.512,0.0,0.488,1032.8770211522176,2000.0,3.98,4.98,51.21749544270833
10,5,3,valid,3,0.2,100.0,100.0,500,0.934,0.0,0.0,0.066,230.26960781994552,2000.0,3.996,4.996,51.423394921875
10,5,3,invalid,3,0.2,100.0,100.0,500,0.0,0.0,0.48,0.52,1093.7771328101624,2000.0,4.04,5.04,51.989618489583336
10,5,3,valid,0,0.4,100.0,100.0,500,0.686,0.0,0.0,0.314,701.4185261675291,2000.0,3.034,4.034,39.04368873697917
10,5,3,invalid,0,0.4,100.0,100.0,500,0.0,0.64,0.0,0.36,789.3161157837764,2000.0,2.876,3.876,37.01043138020834
10,5,3,valid,2,0.4,100.0,100.0,500,0.698,0.0,0.0,0.302,679.3040124516276,2000.0,3.034,4.034,39.04368873697917
10,5,3,invalid,2,0.4,100.0,100.0,500,0.0,0.218,0.0,0.782,1588.4723797760885,2000.0,2.958,3.958,38.0656662109375
10,5,3,valid,3,0.4,100.0,100.0,500,0.658,0.0,0.0,0.342,755.3074328857148,2000.0,2.958,3.958,38.0656662109375
10,5,3,invalid,3,0.4,100.0,100.0,500,0.0,0.0,0.214,0.786,1596.0062062599254,2000.0,3.062,4.062,39.40401282552084
10,11,7,valid,0,0.0,10.0,10.0,500,1.0,0.0,0.0,0.0,21.214000959910454,22.05643136754827,11,12,140.7462890625
10,11,7,invalid,0,0.0,10.0,10.0,500,0.0,1.0,0.0,0.0,21.225474826838337,22.062347173457546,11,12,140.7462890625
10,11,7,valid,6,0.0,10.0,10.0,500,1.0,0.0,0.0,0.0,21.226962135936343,22.093728348371037,11,12,140.7462890625
10,11,7,invalid,6,0.0,10.0,10.0,500,0.0,0.0,0.0,1.0,2000.0,2000.0,11,12,140.7462890625
10,11,7,valid,7,0.0,10.0,10.0,500,1.0,0.0,0.0,0.0,21.221659950343504,22.069455681586692,11,12,140.7462890625
10,11,7,invalid,7,0.0,10.0,10.0,500,0.0,0.0,1.0,0.0,22.396756027281246,22.857872244778477,11,12,140.7462890625
10,11,7,valid,0,0.1,10.0,10.0,500,1.0,0.0,0.0,0.0,21.500543460277047,22.40036611120366,9.884,10.884,126.46693828125001
10,11,7,invalid,0,0.1,10.0,10.0,500,0.0,0.998,0.0,0.002,25.429249465609495,22.419471182430115,9.886,10.886,126.49252851562501
10,11,7,valid,6,0.1,10.0,10.0,500,0.998,0.0,0.0,0.002,25.42385005829021,22.489565440391676,9.914,10.914,126.850791796875
10,11,7,invalid,6,0.1,10.0,10.0,500,0.0,0.0,0.0,1.0,2000.0,2000.0,9.928,10.928,127.0299234375
10,11,7,valid,7,0.1,10.0,10.0,500,1.0,0.0,0.0,0.0,21.504586251821134,22.40990181338675,9.918,10.918,126.901972265625
10,11,7,invalid,7,0.1,10.0,10.0,500,0.0,0.0,0.462,0.538,1086.3343809030737,2000.0,9.846,10.846,125.98072382812501
10,11,7,valid,0,0.2,10.0,10.0,500,0.958,0.0,0.0,0.042,104.83369711522593,22.879661525783032,8.85,9.85,113.236787109375
10,11,7,invalid,0,0.2,10.0,10.0,500,0.0,0.954,0.0,0.046,112.73126235064377,22.839504779845345,8.89,9.89,113.748591796875
10,11,7,valid,6,0.2,10.0,10.0,500,0.946,0.0,0.0,0.054,128.53987991011903,2000.0,8.826,9.826,112.929704296875
10,11,7,invalid,6,0.2,10.0,10.0,500,0.0,0.0,0.0,1.0,2000.0,2000.0,8.748,9.748,111.93168515625
10,11,7,valid,7,0.2,10.0,10.0,500,0.962,0.0,0.0,0.038,96.91001384420035,22.814903230002937,8.852,9.852,113.26237734375
10,11,7,invalid,7,0.2,10.0,10.0,500,0.0,0.0,0.196,0.804,1612.3935888269589,2000.0,8.738,9.738,111.803733984375
10,11,7,valid,0,0.4,10.0,10.0,500,0.572,0.0,0.0,0.428,868.6116507521937,2000.0,6.754,7.754,86.41822148437501
10,11,7,invalid,0,0.4,10.0,10.0,500,0.0,0.538,0.0,0.462,935.8923777567632,2000.0,6.604,7.604,84.49895390625001
10,11,7,valid,6,0.4,10.0,10.0,500,0.528,0.0,0.0,0.472,955.6549667513046,2000.0,6.63,7.63,84.83162695312501
10,11,7,invalid,6,0.4,10.0,10.0,500,0.0,0.0,0.0,1.0,2000.0,2000.0,6.544,7.544,83.73124687500001
10,11,7,valid,7,0.4,10.0,10.0,500,0.534,0.0,0.0,0.466,943.7980974724803,2000.0,6.626,7.626,84.780446484375
10,11,7,invalid,7,0.4,10.0,10.0,500,0.0,0.0,0.018,0.982,1964.4006887678222,2000.0,6.526,7.526,83.500934765625
10,11,7,valid,0,0.0,10.0,50.0,500,1.0,0.0,0.0,0.0,62.41023652365423,66.84049968894188,11,12,140.7462890625
10,11,7,invalid,0,0.0,10.0,50.0,500,0.0,1.0,0.0,0.0,62.664102035720724,66.75245851971643,11,12,140.7462890625
10,11,7,valid,6,0.0,10.0,50.0,500,1.0,0.0,0.0,0.0,62.51708993081145,67.04401064789738,11,12,140.7462890625
10,11,7,invalid,6,0.0,10.0,50.0,500,0.0,0.0,0.0,1.0,2000.0,2000.0,11,12,140.7462890625
10,11,7,valid,7,0.0,10.0,50.0,500,1.0,0.0,0.0,0.0,62.50217396069128,67.02934754583616,11,12,140.7462890625
10,11,7,invalid,7,0.0,10.0,50.0,500,0.0,0.0,1.0,0.0,68.21921934338447,70.73712573824221,11,12,140.7462890625
10,11,7,valid,0,0.1,10.0,50.0,500,1.0,0.0,0.0,0.0,63.90491626252618,68.74781066527868,9.928,10.928,127.0299234375
10,11,7,invalid,0,0.1,10.0,50.0,500,0.0,0.998,0.0,0.002,67.62636918012367,68.42176570152515,9.896,10.896,126.62047968750001
10,11,7,valid,6,0.1,10.0,50.0,500,0.992,0.0,0.0,0.008,79.56198575701568,68.70941592380134,9.816,10.816,125.5968703125
10,11,7,invalid,6,0.1,10.0,50.0,500,0.0,0.0,0.0,1.0,2000.0,2000.0,9.862,10.862,126.185445703125
10,11,7,valid,7,0.1,10.0,50.0,500,0.996,0.0,0.0,0.004,71.66495311615847,69.07550268190819,9.774,10.774,125.05947539062501
10,11,7,invalid,7,0.1,10.0,50.0,500,0.0,0.0,0.464,0.536,1103.6921683139635,2000.0,9.858,10.858,126.13426523437501
10,11,7,valid,0,0.2,10.0,50.0,500,0.94,0.0,0.0,0.06,181.2964749229318,2000.0,8.728,9.728,111.6757828125
10,11,7,invalid,0,0.2,10.0,50.0,500,0.0,0.964,0.0,0.036,134.6709801601085,70.23022678279155,8.92,9.92,114.13244531250001
10,11,7,valid,6,0.2,10.0,50.0,500,0.94,0.0,0.0,0.06,181.2380457789024,2000.0,8.786,9.786,112.417899609375
10,11,7,invalid,6,0.2,10.0,50.0,500,0.0,0.0,0.0,1.0,2000.0,2000.0,8.824,9.824,112.9041140625
